Date,Open,High,Low,Close,Volume
2012-05-18,42.05,45.0,38.0,38.23,580587712
2012-05-21,36.53,36.66,33.0,34.03,168309824
2012-05-22,32.61,33.59,30.94,31.0,102053824
2012-05-23,31.37,32.5,31.36,32.0,73721136
2012-05-24,32.95,33.21,31.77,33.03,50275880
2012-05-25,32.9,32.95,31.11,31.91,37189632
2012-05-29,31.48,31.69,28.65,28.84,78060800
2012-05-30,28.7,29.55,27.86,28.19,57267868
2012-05-31,28.55,29.67,26.83,29.6,111639200
2012-06-01,28.89,29.15,27.39,27.72,41855500
2012-06-04,27.2,27.65,26.44,26.9,35230288
2012-06-05,26.7,27.76,25.75,25.87,42473264
2012-06-06,26.07,27.17,25.52,26.81,61487020
2012-06-07,27.0,27.35,26.15,26.31,26167756
2012-06-08,26.55,27.76,26.44,27.1,38033420
2012-06-11,27.18,28.07,26.84,27.0,28225888
2012-06-12,27.48,27.77,26.96,27.4,15822414
2012-06-13,27.66,28.1,27.1,27.27,17118672
2012-06-14,27.65,28.32,27.38,28.29,16854124
2012-06-15,28.5,30.1,28.35,30.01,43563740
2012-06-18,29.95,32.08,29.41,31.41,42978208
2012-06-19,31.54,32.18,30.7,31.91,30848912
2012-06-20,31.92,31.93,31.15,31.6,15558921
2012-06-21,31.67,32.5,31.51,31.84,21875228
2012-06-22,32.41,33.45,32.06,33.05,74833976
2012-06-25,32.86,33.02,31.55,32.06,24352818
2012-06-26,32.69,33.44,32.5,33.1,24858612
2012-06-27,32.46,32.9,31.9,32.23,28599506
2012-06-28,31.96,32.19,30.9,31.36,17713292
2012-06-29,31.92,31.99,30.76,31.09,19526824
2012-07-02,31.25,31.73,30.55,30.77,14131476
2012-07-03,30.91,31.44,30.8,31.2,8765498
2012-07-05,31.32,31.62,31.02,31.47,10036688
2012-07-06,31.44,31.9,31.26,31.73,10949006
2012-07-09,32.1,32.88,31.99,32.17,17785180
2012-07-10,32.43,32.48,31.16,31.47,14276996
2012-07-11,31.48,31.56,30.55,30.97,13027752
2012-07-12,30.7,31.4,30.6,30.81,11306636
2012-07-13,31.04,31.07,30.56,30.72,8117346
2012-07-16,30.5,30.5,28.21,28.25,24672074
2012-07-17,28.48,28.59,27.15,28.09,30438552
2012-07-18,28.31,29.29,28.15,29.11,16841780
2012-07-19,29.41,29.5,28.63,29.0,13685031
2012-07-20,29.0,29.47,28.72,28.76,11869046
2012-07-23,28.12,29.0,28.01,28.75,12393864
2012-07-24,28.82,29.45,28.1,28.45,11539799
2012-07-25,28.39,29.49,28.08,29.34,17230154
2012-07-26,27.75,28.23,26.73,26.84,64597376
2012-07-27,23.19,24.54,22.28,23.7,123098336
2012-07-30,24.0,24.04,23.03,23.15,29285896
2012-07-31,23.37,23.37,21.61,21.71,56179320
2012-08-01,21.5,21.58,20.84,20.88,44604364
2012-08-02,20.77,20.84,19.82,20.04,56374436
2012-08-03,20.36,22.16,19.9,21.09,80646976
2012-08-06,21.39,22.15,21.3,21.92,27778038
2012-08-07,22.2,22.45,20.5,20.72,36782828
2012-08-08,20.71,21.15,20.22,20.72,29537376
2012-08-09,20.75,21.17,20.61,21.01,15618515
2012-08-10,21.41,21.82,21.13,21.81,25794672
2012-08-13,22.15,22.45,21.4,21.6,24972972
2012-08-14,21.41,21.6,20.25,20.38,39308632
2012-08-15,20.64,21.41,20.4,21.2,47860768
2012-08-16,20.44,20.48,19.69,19.87,157554944
2012-08-17,20.0,20.08,19.0,19.05,129293344
2012-08-20,19.05,20.13,18.75,20.01,101186528
2012-08-21,19.58,19.98,19.09,19.16,70640464
2012-08-22,19.36,19.53,18.96,19.44,49892128
2012-08-23,19.5,19.73,19.36,19.44,32813310
2012-08-24,19.52,19.68,19.25,19.41,29622156
2012-08-27,19.49,19.53,19.1,19.15,20703908
2012-08-28,19.1,19.38,18.95,19.34,25425786
2012-08-29,19.32,19.38,19.07,19.1,16124625
2012-08-30,19.27,19.45,19.06,19.09,30647472
2012-08-31,18.68,18.7,18.03,18.06,58764168
2012-09-04,18.08,18.27,17.55,17.73,46622352
2012-09-05,18.27,18.75,18.18,18.58,60781720
2012-09-06,18.74,19.26,18.72,18.96,46066348
2012-09-07,19.1,19.42,18.78,18.98,36371696
2012-09-10,19.06,19.2,18.55,18.81,24797642
2012-09-11,18.92,19.58,18.85,19.43,50508128
2012-09-12,20.76,21.16,20.28,20.93,121584000
2012-09-13,20.95,21.48,20.61,20.71,65041524
2012-09-14,21.13,22.08,20.9,22.0,72819640
2012-09-17,22.67,22.75,21.5,21.52,50666448
2012-09-18,21.6,21.98,21.37,21.87,36760448
2012-09-19,21.99,23.37,21.77,23.29,78782784
2012-09-20,23.02,23.24,22.54,22.59,57248664
2012-09-21,22.97,23.24,22.6,22.86,51218096
2012-09-24,21.78,21.98,20.36,20.79,79105120
2012-09-25,21.2,21.21,20.22,20.28,46291656
2012-09-26,20.14,20.78,19.8,20.62,38271880
2012-09-27,20.99,21.0,20.16,20.32,30215820
