EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,AirportCode,City,County,State,ZipCode
W-30880,Rain,Light,2017-01-02 18:28:00,2017-01-02 19:38:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30881,Rain,Light,2017-01-02 19:54:00,2017-01-02 20:27:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30882,Rain,Light,2017-01-02 20:54:00,2017-01-02 22:13:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30883,Rain,Light,2017-01-03 04:54:00,2017-01-03 05:15:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30884,Snow,Light,2017-01-05 02:54:00,2017-01-05 07:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30885,Snow,Light,2017-01-05 09:52:00,2017-01-05 10:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30886,Snow,Light,2017-01-05 11:54:00,2017-01-05 12:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30887,Snow,Light,2017-01-05 14:25:00,2017-01-05 15:42:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30888,Rain,Light,2017-01-10 15:54:00,2017-01-10 16:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30889,Rain,Light,2017-01-14 04:40:00,2017-01-14 05:18:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30890,Rain,Light,2017-01-15 11:04:00,2017-01-15 11:32:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30891,Rain,Light,2017-01-15 13:06:00,2017-01-15 13:13:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30892,Rain,Light,2017-01-15 13:44:00,2017-01-15 14:01:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30893,Rain,Light,2017-01-15 17:49:00,2017-01-15 18:31:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30894,Rain,Light,2017-01-15 19:46:00,2017-01-15 22:18:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30895,Rain,Light,2017-01-15 23:54:00,2017-01-16 00:09:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30896,Fog,Moderate,2017-01-16 01:43:00,2017-01-16 02:28:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30897,Rain,Light,2017-01-16 02:54:00,2017-01-16 03:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30898,Fog,Severe,2017-01-16 04:54:00,2017-01-16 06:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30899,Rain,Light,2017-01-16 06:54:00,2017-01-16 08:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30900,Rain,Light,2017-01-16 09:29:00,2017-01-16 10:32:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30901,Rain,Moderate,2017-01-16 10:32:00,2017-01-16 11:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-30902,Rain,Light,2017-01-16 11:54:00,2017-01-16 12:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
